title,url,date_published,snippet,body,text
Uvalde Pediatrician Says He Will ‘Never Forget What I Saw’ After Shooting,https://www.nytimes.com/2022/06/08/us/uvalde-pediatrician-shooting.html,2022-06-08T15:24:44Z,Dr. Roy Guerrero described to members of Congress on Wednesday the horrors he experienced as he treated wounded and dying students.,"Dr. Roy Guerrero, a pediatrician in Uvalde, Texas, described to members of Congress on Wednesday the horrors he saw two weeks ago in the citys emergency room as he treated wounded and dying students … [+691 chars]",uvalde pediatrician says he will never forget what i saw after shooting dr roy guerrero described to members of congress on wednesday the horrors he experienced as he treated wounded and dying students dr roy guerrero a pediatrician in uvalde texas described to members of congress on wednesday the horrors he saw two weeks ago in the citys emergency room as he treated wounded and dying students 
Texas Elementary School Shooting: Latest News Updates,https://www.nytimes.com/live/2022/05/24/us/shooting-robb-elementary-uvalde,2022-05-24T20:36:10Z,A hospital confirmed at least two children were among those killed. Gov. Greg Abbott said the gunman was also dead.,"The Gun Violence Archive, a nonprofit organization, counted at least 215 such shootings, defined as one in which four or more people were killed or injured, through mid-May. Of those shootings, nine … [+4629 chars]",texas elementary school shooting latest news updates a hospital confirmed at least two children were among those killed gov greg abbott said the gunman was also dead the gun violence archive a nonprofit organization counted at least 215 such shootings defined as one in which four or more people were killed or injured through mid may of those shootings nine 
How the Texas School Shooting Unfolded in 78 Minutes: A Timeline,https://www.nytimes.com/interactive/2022/05/28/us/school-shooting-timeline-uvalde-texas.html,2022-05-29T00:03:09Z,How the Texas School Shooting Unfolded in 78 Minutes: A Timelinenytimes.com,"When families learned that a gunman had entered Robb Elementary School in Uvalde, Texas, at 11:33 a.m. on May 24, a brutal wait began. Police on the scene did not stop the gunman until well over an h… [+526 chars]",how the texas school shooting unfolded in 78 minutes a timeline how the texas school shooting unfolded in 78 minutes a timelinenytimes com when families learned that a gunman had entered robb elementary school in uvalde texas at 11 33 a m on may 24 a brutal wait began police on the scene did not stop the gunman until well over an h 
Beto O’Rourke Assails Governor Abbott Texas Over Texas Gun Laws,https://www.nytimes.com/2022/06/01/us/politics/beto-orourke-abbott-gun-laws.html,2022-06-02T01:35:49Z,"Since the 2019 mass shooting in El Paso, his hometown, Mr. O’Rourke has pushed for stricter gun safety. It hasn’t helped him politically — but that’s not his point.","Mr. ORourke has become an increasingly vocal proponent of stricter gun safety laws since a self-proclaimed white supremacist opened fire at a Walmart in his hometown, El Paso, killing 23 people in 20… [+1711 chars]",beto o rourke assails governor abbott texas over texas gun laws since the 2019 mass shooting in el paso his hometown mr o rourke has pushed for stricter gun safety it hasn t helped him politically but that s not his point mr orourke has become an increasingly vocal proponent of stricter gun safety laws since a self proclaimed white supremacist opened fire at a walmart in his hometown el paso killing 23 people in 20 
"The Family of Lexi Rubio, Uvalde Shooting Victim, Pleads for Action",https://www.nytimes.com/2022/05/26/us/lexi-rubio-uvalde-texas-victim.html,2022-05-26T22:35:17Z,"Alexandria “Lexi” Aniyah Rubio, an honor roll student at Robb Elementary who loved TikTok and dreamed of being a lawyer, was among the victims in Robb Elementary, her mother and father said.","Two days after their daughter, Alexandria Lexi Aniyah Rubio, was shot and killed in Uvalde, Texas, Kimberly Rubio and her husband are urging elected officials to pass restrictive gun laws to help pre… [+2639 chars]",the family of lexi rubio uvalde shooting victim pleads for action alexandria lexi aniyah rubio an honor roll student at robb elementary who loved tiktok and dreamed of being a lawyer was among the victims in robb elementary her mother and father said two days after their daughter alexandria lexi aniyah rubio was shot and killed in uvalde texas kimberly rubio and her husband are urging elected officials to pass restrictive gun laws to help pre 
Democrats Move to Clear Way for Votes on Background Checks for Gun Purchasers,https://www.nytimes.com/2022/05/24/us/democrats-gun-control-school-shooting.html,2022-05-25T01:39:53Z,"Republicans have opposed such measures in the past, and gave no indication that they had changed their positions.","Mr. Murphy, who began pushing for gun safety and background check legislation after the massacre at Sandy Hook Elementary School in Newtown, Conn., said after his speech that he believed there were 1… [+959 chars]",democrats move to clear way for votes on background checks for gun purchasers republicans have opposed such measures in the past and gave no indication that they had changed their positions mr murphy who began pushing for gun safety and background check legislation after the massacre at sandy hook elementary school in newtown conn said after his speech that he believed there were 1 
Gun Violence Hearing: Live News Updates,https://www.nytimes.com/live/2022/06/08/us/gun-violence-hearing-uvalde-buffalo,2022-06-08T12:01:10Z,"Shootings in Buffalo and Uvalde, Texas, have spurred a national debate on gun control and the response of police in school shootings.","On Saturday night, three people were killed in a shooting in downtown Philadelphia, the police said.The Gun Violence Archive, a nonprofit organization, counted at least 246 such shootings, defined as… [+4630 chars]",gun violence hearing live news updates shootings in buffalo and uvalde texas have spurred a national debate on gun control and the response of police in school shootings on saturday night three people were killed in a shooting in downtown philadelphia the police said the gun violence archive a nonprofit organization counted at least 246 such shootings defined as 
Beto O’Rourke Accuses Texas Governor of ‘Doing Nothing’ During Press Conference,https://www.nytimes.com/2022/05/25/us/beto-orourke-texas-press-conference-texas-shooting.html,2022-05-25T19:13:39Z,The former congressman shouted that the elementary school killings were a “totally predictable” result of lax state and federal gun laws.,Former Representative Beto ORourke interrupted a news conference held by Gov. Greg Abbott of Texas on Wednesday to accuse Republicans of doing nothing to address gun violence in the aftermath of a sh… [+5381 chars],beto o rourke accuses texas governor of doing nothing during press conference the former congressman shouted that the elementary school killings were a totally predictable result of lax state and federal gun laws former representative beto orourke interrupted a news conference held by gov greg abbott of texas on wednesday to accuse republicans of doing nothing to address gun violence in the aftermath of a sh 
Texas Gunman Texted a Friend That He Was About to ‘Shoot Up’ a School,https://www.nytimes.com/2022/05/25/us/texas-gunman-text.html,2022-05-25T21:30:27Z,"A 15-year-old girl in Germany said in an interview that she had met the future gunman about two weeks earlier on Yubo, an app that lets people livestream themselves to strangers.","The gunman who killed 19 children and two adults at a school in Uvalde, Texas, told an online acquaintance that he had just shot his grandmother and was about to shoot up a elementary school minutes … [+3706 chars]",texas gunman texted a friend that he was about to shoot up a school a 15 year old girl in germany said in an interview that she had met the future gunman about two weeks earlier on yubo an app that lets people livestream themselves to strangers the gunman who killed 19 children and two adults at a school in uvalde texas told an online acquaintance that he had just shot his grandmother and was about to shoot up a elementary school minutes 
"Don McLean, Other Performers Drop Out of NRA Convention After Uvalde",https://www.nytimes.com/2022/05/26/us/nra-convention-performers-uvalde.html,2022-05-26T21:52:36Z,"Don McLean and Larry Gatlin withdrew out of respect to the victims, as teachers’ unions joined protests for gun control planned in Houston.","Several musical performers who planned to appear at this weeks National Rifle Association convention in Houston have withdrawn out of respect for the victims of the massacre in Uvalde, 279 miles west… [+3269 chars]",don mclean other performers drop out of nra convention after uvalde don mclean and larry gatlin withdrew out of respect to the victims as teachers unions joined protests for gun control planned in houston several musical performers who planned to appear at this weeks national rifle association convention in houston have withdrawn out of respect for the victims of the massacre in uvalde 279 miles west 
