title,url,date_published,snippet,body
"U.S., South Korea, Japan envoys meet on North Korea nuclear tension - Reuters",https://www.reuters.com/world/us-south-korea-japan-envoys-meet-north-korea-nuclear-tension-2022-06-03/,2022-06-03T03:54:00Z,"Officials from the United States, South Korea and Japan met in Seoul on Friday for talks on North Korea amid signs the isolated country is preparing to conduct a nuclear test for the first time since 2017.","SEOUL, June 3 (Reuters) - Officials from the United States, South Korea and Japan met in Seoul on Friday for talks on North Korea amid signs the isolated country is preparing to conduct a nuclear tes… [+2232 chars]"
"Officials from U.S., Japan, South Korea to meet, discuss North Korea - Reuters",https://www.reuters.com/world/officials-us-japan-south-korea-meet-discuss-north-korea-2022-05-27/,2022-05-27T05:50:00Z,"Officials from the United States, Japan and South Korea will meet in Seoul on June 3 for talks on North Korea, which is believed to be preparing a new nuclear test and this week launched three missiles, Japan's foreign ministry said on Friday.","TOKYO, May 27 (Reuters) - Officials from the United States, Japan and South Korea will meet in Seoul on June 3 for talks on North Korea, which is believed to be preparing a new nuclear test and this … [+389 chars]"
"Yellen to visit S. Korea, discuss N. Korea sanctions -sources - Reuters.com",https://www.reuters.com/world/asia-pacific/yellen-visit-s-korea-discuss-n-korea-sanctions-sources-2022-06-24/,2022-06-24T23:25:00Z,"U.S. Treasury Secretary Janet Yellen will visit South Korea next month for talks on rising inflation and possible further sanctions on North Korea over its nuclear program, sources familiar with the matter said on Friday.","WASHINGTON/SEOUL, June 24 (Reuters) - U.S. Treasury Secretary Janet Yellen will visit South Korea next month for talks on rising inflation and possible further sanctions on North Korea over its nucle… [+1847 chars]"
"US, South Korea launch missiles in response to North - Reuters.com",https://www.reuters.com/video/watch/idsPRy?now=true,2022-06-06T07:53:40Z,"06/05  Russian missiles rattled Kyiv as Russian president Vladimir Putin said that if Western nations supplied Ukraine with longer-ranged weapons, Moscow would be forced to strike new targets.","Posted 
06/05 Russian missiles rattled Kyiv as Russian president Vladimir Putin said that if Western nations supplied Ukraine with longer-ranged weapons, Moscow would be forced to strike new targets."
COVID in North Korea likely getting worse: WHO - Reuters,https://www.reuters.com/video/watch/idsPFK?now=true,2022-06-02T09:07:17Z,"The World Health Organization has cast doubts on North Korea's claims of progress in the fight against a COVID-19 outbreak, saying it believes the situation is getting worse, not better, amid an absence of independent data.","Posted 
The World Health Organization has cast doubts on North Korea's claims of progress in the fight against a COVID-19 outbreak, saying it believes the situation is getting worse, not better, ami… [+32 chars]"
"China says U.S. needs to ease sanctions on N.Korea, end military exercises - Reuters",https://www.reuters.com/world/asia-pacific/china-says-us-needs-ease-sanctions-nkorea-end-military-exercises-2022-06-08/,2022-06-08T14:30:00Z,"The United States needs to take action on North Korea such as easing sanctions in certain areas and ending joint military exercises with South Korea, China's U.N. Ambassador Zhang Jun told the U.N. General Assembly on Wednesday.","UNITED NATIONS, June 8 (Reuters) - The United States needs to take action on North Korea such as easing sanctions in certain areas and ending joint military exercises with South Korea, China's U.N. A… [+384 chars]"
"S.Korea, U.S. stage rare drills with air carrier - Reuters",https://www.reuters.com/business/aerospace-defense/skorea-us-stage-rare-drills-with-air-carrier-2022-06-04/,2022-06-04T09:10:00Z,"South Korea and the United States staged their first combined military exercises involving an American aircraft carrier in more than four years, Seoul's military said on Saturday, amid reports that North Korea was preparing for a nuclear test.","SEOUL, June 4 (Reuters) - South Korea and the United States staged their first combined military exercises involving an American aircraft carrier in more than four years, Seoul's military said on Sat… [+2716 chars]"
"N.Korea reports 79100 more people with fever, one new death amid COVID wave - Reuters",https://www.reuters.com/world/asia-pacific/nkorea-reports-79100-more-people-with-fever-one-new-death-amid-covid-wave-2022-06-03/,2022-06-03T22:00:00Z,"North Korea reported some 79,100 more people with fever symptoms and one additional death amid its first-confirmed coronavirus outbreak, state media KCNA said on Saturday.","SEOUL, June 4 (Reuters) - North Korea reported some 79,100 more people with fever symptoms and one additional death amid its first-confirmed coronavirus outbreak, state media KCNA said on Saturday.
… [+1034 chars]"
North Korea deploys national medical teams to battle intestinal epidemic - Reuters.com,https://www.reuters.com/world/asia-pacific/nkorea-deploys-national-medical-teams-battle-intestinal-epidemic-2022-06-18/,2022-06-18T22:10:00Z,"North Korea has dispatched medical crews and epidemiological investigators to a province battling the outbreak of an intestinal disease, state media reported on Sunday.","SEOUL, June 19 (Reuters) - North Korea has dispatched medical crews and epidemiological investigators to a province battling the outbreak of an intestinal disease, state media reported on Sunday.
At… [+1199 chars]"
Canada says Chinese warplanes harassed its patrol aircraft on N.Korea sanctions mission - Reuters,https://www.reuters.com/business/aerospace-defense/canada-says-chinese-warplanes-harassed-its-patrol-aircraft-nkorea-sanctions-2022-06-02/,2022-06-02T06:48:00Z,"Canada's military has accused Chinese warplanes of harassing its patrol aircraft as they monitor North Korea sanction evasions, sometimes forcing Canadian planes to divert from their flight paths.","SEOUL, June 2 (Reuters) - Canada's military has accused Chinese warplanes of harassing its patrol aircraft as they monitor North Korea sanction evasions, sometimes forcing Canadian planes to divert f… [+1956 chars]"
