title,url,date_published,snippet,body,text
Analysis: Celtics in 2022 have parallels to Warriors in 2015,https://apnews.com/399a7bf9526559a573d49c16defd5569,2022-06-03T06:29:13Z,"When the Golden State Warriors look at the tape of Game 1 of the NBA Finals, they’ll see both the present and the past. They’ll see the Boston Celtics, the 2022 version. They’ll also see a team that looks a…","By TIM REYNOLDS - AP Basketball Writer
SAN FRANCISCO (AP) When the Golden State Warriors look at the tape of Game 1 of the NBA Finals, theyll see both the present and the past.
Theyll see the Bosto… [+4635 chars]",analysis celtics in 2022 have parallels to warriors in 2015 when the golden state warriors look at the tape of game 1 of the nba finals they ll see both the present and the past they ll see the boston celtics the 2022 version they ll also see a team that looks a by tim reynolds ap basketball writer san francisco when the golden state warriors look at the tape of game 1 of the nba finals theyll see both the present and the past theyll see the bosto 
"Warriors cap title run, NBA flips the page to 2022-23 season",https://apnews.com/b38b59409acc7d984f1093cf28c41106,2022-06-17T17:48:32Z,"A parade awaits in San Francisco to celebrate the champion Golden State Warriors. The NBA draft is a few days away, with presumed top-three picks Jabari Smith, Chet Holmgren and Paolo Banchero set to take their first steps toward realizing…","By TIM REYNOLDS - AP Basketball Writer
A parade awaits in San Francisco to celebrate the champion Golden State Warriors. The NBA draft is a few days away, with presumed top-three picks Jabari Smith,… [+5575 chars]",warriors cap title run nba flips the page to 2022 23 season a parade awaits in san francisco to celebrate the champion golden state warriors the nba draft is a few days away with presumed top three picks jabari smith chet holmgren and paolo banchero set to take their first steps toward realizing by tim reynolds ap basketball writer a parade awaits in san francisco to celebrate the champion golden state warriors the nba draft is a few days away with presumed top three picks jabari smith 
Pelicans' CJ McCollum joining ESPN as an NBA analyst,https://apnews.com/ffd0241baf7c3b771ca220b5983cebe8,2022-05-30T17:09:39Z,New Orleans guard and NBA Players Association president CJ McCollum has added another title to his busy schedule — NBA analyst for ESPN. The network announced Monday that they have signed the Pelicans star to a multi-platform deal. He will…,"New Orleans guard and NBA Players Association president CJ McCollum has added another title to his busy schedule NBA analyst for ESPN.
The network announced Monday that they have signed the Pelicans… [+2107 chars]",pelicans cj mccollum joining espn as an nba analyst new orleans guard and nba players association president cj mccollum has added another title to his busy schedule nba analyst for espn the network announced monday that they have signed the pelicans star to a multi platform deal he will new orleans guard and nba players association president cj mccollum has added another title to his busy schedule nba analyst for espn the network announced monday that they have signed the pelicans 
NBA Finals preview: Breaking down Celtics-Warriors matchup,https://apnews.com/080e6e5b253a8768a017d006a172bd8d,2022-06-01T17:09:14Z,"The NBA Finals start Thursday night. Golden State is seeking a fourth championship in eight years, while the Boston Celtics are trying to break a tie with the Los Angeles Lakers and become the first team with 18 NBA titles.…","By TIM REYNOLDS - AP Basketball Writer
SAN FRANCISCO (AP) Preview capsule for the NBA Finals, which start Thursday:
East No. 2 BOSTON CELTICS (51-31, 12-6) vs. West No. 3 GOLDEN STATE WARRIORS (53-… [+5653 chars]",nba finals preview breaking down celtics warriors matchup the nba finals start thursday night golden state is seeking a fourth championship in eight years while the boston celtics are trying to break a tie with the los angeles lakers and become the first team with 18 nba titles by tim reynolds ap basketball writer san francisco preview capsule for the nba finals which start thursday east no 2 boston celtics vs west no 3 golden state warriors 53 
"Giannis, Jokic, Doncic, Booker, Tatum on All-NBA first team",https://apnews.com/fb3df0c45ad02652e3979238b209ddec,2022-05-25T01:03:14Z,"Giannis Antetokounmpo, fellow two-time NBA MVP Nikola Jokic, Luka Doncic, Devin Booker and Jayson Tatum were voted first-team All-NBA, the first time in 67 years all five players were age 27 or younger. Milwaukee's Antetokounmpo was the only player to…","NEW YORK (AP) Giannis Antetokounmpo, fellow two-time NBA MVP Nikola Jokic, Luka Doncic, Devin Booker and Jayson Tatum were voted first-team All-NBA on Tuesday, the first time in 67 years all five pla… [+1152 chars]",giannis jokic doncic booker tatum on all nba first team giannis antetokounmpo fellow two time nba mvp nikola jokic luka doncic devin booker and jayson tatum were voted first team all nba the first time in 67 years all five players were age 27 or younger milwaukee s antetokounmpo was the only player to new york giannis antetokounmpo fellow two time nba mvp nikola jokic luka doncic devin booker and jayson tatum were voted first team all nba on tuesday the first time in 67 years all five pla 
"Barnes, Mobley, Cunningham unanimous NBA All-Rookie picks",https://apnews.com/667a568c8332d47dc711ae542ece1d42,2022-05-19T01:29:55Z,"Rookie of the Year Scottie Barnes, Cleveland forward Evan Mobley and Detroit guard Cade Cunningham were unanimously voted to the NBA All-Rookie first team. Orlando’s Franz Wagner and Houston’s Jalen Green were the other players chosen for the first team…","NEW YORK (AP) Rookie of the Year Scottie Barnes, Cleveland forward Evan Mobley and Detroit guard Cade Cunningham were unanimously voted Wednesday to the NBA All-Rookie first team.
Orlando's Franz Wa… [+819 chars]",barnes mobley cunningham unanimous nba all rookie picks rookie of the year scottie barnes cleveland forward evan mobley and detroit guard cade cunningham were unanimously voted to the nba all rookie first team orlando s franz wagner and houston s jalen green were the other players chosen for the first team new york rookie of the year scottie barnes cleveland forward evan mobley and detroit guard cade cunningham were unanimously voted wednesday to the nba all rookie first team orlando s franz wa 
"Diabate, Houstan staying in NBA draft and leaving Michigan",https://apnews.com/e2e7a531422b01f9c9593a14505d6061,2022-06-02T02:12:05Z,Michigan standout freshmen Moussa Diabate and Caleb Houstan are staying in the NBA draft. Diabate and Houstan had to make a decision to stay in school or to remain in the draft by Wednesday. The 6-foot-11 Diabate started 26 of…,"ANN ARBOR, Mich. (AP) Michigan standout freshmen Moussa Diabate and Caleb Houstan are staying in the NBA draft.
Diabate and Houstan had to make a decision to stay in school, or to remain in the draf… [+692 chars]",diabate houstan staying in nba draft and leaving michigan michigan standout freshmen moussa diabate and caleb houstan are staying in the nba draft diabate and houstan had to make a decision to stay in school or to remain in the draft by wednesday the 6 foot 11 diabate started 26 of ann arbor mich michigan standout freshmen moussa diabate and caleb houstan are staying in the nba draft diabate and houstan had to make a decision to stay in school or to remain in the draf 
ESPN's Van Gundy returns for Game 2 of NBA Finals,https://apnews.com/19cdec58a91b006402f83197c1c311c4,2022-06-05T22:40:53Z,"ESPN’s Jeff Van Gundy will be part of the broadcast team for Game 2 of the NBA Finals. Van Gundy tested positive for COVID-19 and missed the opening game of the series on Thursday. Mark Jones, Van Gundy, Mark Jackson…",SAN FRANCISCO (AP) ESPNs Jeff Van Gundy will be part of the broadcast team for Game 2 of the NBA Finals. Van Gundy tested positive for COVID-19 and missed the opening game of the series on Thursday.,espn s van gundy returns for game 2 of nba finals espn s jeff van gundy will be part of the broadcast team for game 2 of the nba finals van gundy tested positive for covid 19 and missed the opening game of the series on thursday mark jones van gundy mark jackson san francisco espns jeff van gundy will be part of the broadcast team for game 2 of the nba finals van gundy tested positive for covid 19 and missed the opening game of the series on thursday 
Warriors lean on history with a chance to close out Celtics,https://apnews.com/57ed8fa08ce1368c927b7cef228d79ee,2022-06-15T21:15:53Z,Stephen Curry and the Warriors have been within a game of clinching a championship in three of Golden State’s previous five trips to the NBA Finals during his 13-year NBA career. Curry says he’ll lean on that experience when he…,"By KYLE HIGHTOWER - AP Sports Writer
BOSTON (AP) Stephen Curry and the Warriors have been within a game of clinching a championship in three of Golden States previous five trips to the NBA Finals du… [+5307 chars]",warriors lean on history with a chance to close out celtics stephen curry and the warriors have been within a game of clinching a championship in three of golden state s previous five trips to the nba finals during his 13 year nba career curry says he ll lean on that experience when he by kyle hightower ap sports writer boston stephen curry and the warriors have been within a game of clinching a championship in three of golden states previous five trips to the nba finals du 
"Mathurin, Griffin, Davis, Sharpe top wings in NBA draft",https://apnews.com/7e10a936a4f5ef828513d42a2566d96b,2022-06-17T06:27:40Z,"Arizona's Bennedict Mathurin, Duke's A.J. Griffin, Wisconsin's Johnny Davis and Kentucky's Shaedon Sharpe are among the top wing players in this year's NBA draft. Davis was a first-team Associated Press All-American, while Mathurin was a second-team pick. Gri…","By AARON BEARD - AP Basketball Writer
Arizonas Bennedict Mathurin, Dukes A.J. Griffin and Wisconsins Johnny Davis spent the past season showing off their NBA potential in front of big crowds at the … [+6450 chars]",mathurin griffin davis sharpe top wings in nba draft arizona s bennedict mathurin duke s a j griffin wisconsin s johnny davis and kentucky s shaedon sharpe are among the top wing players in this year s nba draft davis was a first team associated press all american while mathurin was a second team pick gri by aaron beard ap basketball writer arizonas bennedict mathurin dukes a j griffin and wisconsins johnny davis spent the past season showing off their nba potential in front of big crowds at the 
